,Casos-2020-08-17,Obitos-2020-08-17,Casos-2020-08-31,Obitos-2020-08-31
AGUA CLARA,50,3.0,70,3.0
ALCINOPOLIS,5,3.0,9,3.0
AMAMBAI,110,12.0,152,12.0
ANASTACIO,289,9.0,406,15.0
ANAURILANDIA,30,1.0,30,1.0
ANGELICA,51,3.0,59,3.0
ANTONIO JOAO,49,,49,
APARECIDA DO TABOADO,284,12.0,568,18.0
AQUIDAUANA,1147,39.0,1503,45.0
ARAL MOREIRA,33,1.0,41,1.0
BANDEIRANTES,57,1.0,59,1.0
BATAGUASSU,570,5.0,607,7.0
BATAIPORA,85,5.0,104,5.0
BELA VISTA,17,1.0,18,2.0
BODOQUENA,6,,8,2.0
BONITO,221,2.0,378,5.0
BRASILANDIA,70,4.0,80,5.0
CAARAPO,258,4.0,323,5.0
CAMAPUA,28,1.0,31,1.0
CAMPO GRANDE,15110,403.0,20069,529.0
CARACOL,12,,14,
CASSILANDIA,149,6.0,318,8.0
CHAPADAO DO SUL,388,8.0,501,12.0
CORGUINHO,19,,27,
CORONEL SAPUCAIA,19,1.0,37,2.0
CORUMBA,1824,84.0,2525,108.0
COSTA RICA,247,6.0,297,8.0
COXIM,230,10.0,410,10.0
DEODAPOLIS,98,1.0,118,2.0
DOIS IRMAOS DO BURITI,154,11.0,238,13.0
DOURADINA,125,3.0,130,3.0
DOURADOS,4404,95.0,5130,107.0
ELDORADO,105,1.0,116,2.0
FATIMA DO SUL,300,12.0,365,14.0
FIGUEIRAO,5,,11,
GLORIA DE DOURADOS,57,1.0,65,1.0
GUIA LOPES DA LAGUNA,274,8.0,292,8.0
IGUATEMI,272,6.0,288,7.0
INOCENCIA,31,,39,1.0
ITAPORA,235,5.0,275,6.0
ITAQUIRAI,218,6.0,252,8.0
IVINHEMA,115,2.0,185,3.0
JARAGUARI,21,1.0,21,1.0
JARDIM,98,9.0,130,10.0
JATEI,27,,27,1.0
JUTI,169,,173,
LADARIO,364,13.0,540,16.0
LAGUNA CARAPA,29,4.0,29,4.0
MARACAJU,246,7.0,300,8.0
MIRANDA,446,11.0,681,13.0
MUNDO NOVO,109,4.0,134,5.0
NAVIRAI,530,25.0,634,35.0
NIOAQUE,143,3.0,191,4.0
NOVA ALVORADA DO SUL,190,5.0,362,7.0
NOVA ANDRADINA,204,13.0,260,17.0
NOVO HORIZONTE DO SUL,15,1.0,19,1.0
PARAISO DAS AGUAS,51,2.0,51,3.0
PARANAIBA,263,8.0,390,9.0
PARANHOS,7,1.0,18,1.0
PEDRO GOMES,3,2.0,15,2.0
PONTA PORA,383,30.0,557,33.0
PORTO MURTINHO,67,4.0,96,5.0
RIBAS DO RIO PARDO,57,3.0,95,6.0
RIO BRILHANTE,725,8.0,890,9.0
RIO NEGRO,22,3.0,25,3.0
RIO VERDE DE MATO GROSSO,106,5.0,143,9.0
ROCHEDO,64,,64,
SANTA RITA DO PARDO,44,1.0,44,1.0
SAO GABRIEL DO OESTE,650,12.0,734,13.0
SELVIRIA,8,1.0,9,1.0
SETE QUEDAS,16,2.0,19,2.0
SIDROLANDIA,1156,28.0,1637,30.0
SONORA,174,7.0,193,7.0
TACURU,98,1.0,162,2.0
TAQUARUSSU,6,,8,
TERENOS,203,14.0,241,14.0
TRES LAGOAS,926,40.0,1219,44.0
VICENTINA,91,5.0,100,6.0
